loggingSample(N),accelerometerAccelerationX(G),SQR_accelerometerAccelerationX(G),accelerometerAccelerationY(G),SQR_accelerometerAccelerationY(G),accelerometerAccelerationZ(G),SQR_accelerometerAccelerationZ(G),TOTAL_ACCELERATION,accelerometerTimestamp_sinceReboot(s),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84)
19417,-0.074905396,0.005610818,0.369628906,0.136625528,0.311279297,0.096894801,0.489010375,1375751.86,1537499661,37.81564612,-122.264165
19418,0.290359497,0.084308637,1.385757446,1.920323699,0.187255859,0.035064757,1.428179643,1375751.92,1537499661,37.81564612,-122.264165
19419,0.175048828,0.030642092,0.107681274,0.011595257,-0.249069214,0.062035473,0.322913026,1375751.979,1537499661,37.81564612,-122.264165
19420,2.219894409,4.927931187,5.94128418,35.29885771,-1.220291138,1.489110461,6.458784666,1375752.039,1537499661,37.81564612,-122.264165
19421,-0.154495239,0.023868779,0.685455322,0.469848998,0.323196411,0.10445592,0.773416898,1375752.099,1537499661,37.81564612,-122.264165
19422,0.364883423,0.133139912,0.945388794,0.893759972,-0.388061523,0.150591746,1.085122864,1375752.158,1537499661,37.81564612,-122.264165
19423,0.056854248,0.003232406,0.975448608,0.951499987,-0.203048706,0.041228777,0.997978542,1375752.218,1537499661,37.81564612,-122.264165
19424,-0.004806519,2.31E-05,1.239196777,1.535608652,-0.182693481,0.033376908,1.25260076,1375752.278,1537499661,37.81564612,-122.264165
19425,-0.020370483,0.000414957,0.758117676,0.574742411,-0.067703247,0.00458373,0.761407313,1375752.337,1537499661,37.81564612,-122.264165
19426,1.321578979,1.746570998,4.463119507,19.91943573,-0.65737915,0.432147347,4.700867375,1375752.397,1537499661,37.81564612,-122.264165
19427,0.001953125,3.81E-06,0.050247192,0.00252478,0.251953125,0.063480377,0.256922113,1375752.457,1537499661,37.81564612,-122.264165
19428,0.192321777,0.036987666,0.652862549,0.426229508,-0.094772339,0.008981796,0.687167352,1375752.516,1537499662,37.81554037,-122.2640045
19429,0.582778931,0.339631282,1.545089722,2.387302249,-0.373641968,0.13960832,1.693086487,1375752.576,1537499662,37.81554037,-122.2640045
19430,0.390045166,0.152135232,0.771194458,0.594740892,0.112167358,0.012581516,0.871468668,1375752.636,1537499662,37.81554037,-122.2640045
19431,0.24937439,0.062187586,0.63923645,0.408623239,-0.048034668,0.002307329,0.687835849,1375752.695,1537499662,37.81554037,-122.2640045
19432,0.181793213,0.033048772,0.735626221,0.541145937,-0.007980347,6.37E-05,0.757798387,1375752.755,1537499662,37.81554037,-122.2640045
19433,0.188690186,0.035603986,1.143234253,1.306984557,-0.143707275,0.020651781,1.16757883,1375752.815,1537499662,37.81554037,-122.2640045
19434,-0.022491455,0.000505866,0.533889771,0.285038288,-0.33190918,0.110163704,0.629053143,1375752.874,1537499662,37.81554037,-122.2640045
19435,0.260406494,0.067811542,1.52015686,2.310876879,-0.680404663,0.462950505,1.685716146,1375752.934,1537499662,37.81554037,-122.2640045
19436,0.221694946,0.049148649,1.166046143,1.359663608,-0.065322876,0.004267078,1.188730135,1375752.993,1537499662,37.81554037,-122.2640045
19437,0.141891479,0.020133192,0.763061523,0.582262888,-0.005950928,3.54E-05,0.776164604,1375753.053,1537499662,37.81554037,-122.2640045
19438,0.192260742,0.036964193,1.012908936,1.025984513,-0.223403931,0.049909316,1.054920861,1375753.113,1537499662,37.81554037,-122.2640045
19439,0.376678467,0.141886668,1.173202515,1.376404141,-0.368865967,0.136062102,1.28621651,1375753.172,1537499662,37.81554037,-122.2640045
19440,0.349884033,0.122418837,0.997467041,0.994940498,0.056732178,0.00321854,1.058573509,1375753.232,1537499662,37.81554037,-122.2640045
19441,0.116821289,0.013647214,0.201370239,0.040549973,0.014633179,0.00021413,0.233262334,1375753.292,1537499662,37.81554037,-122.2640045
19442,0.198776245,0.039511996,0.912338257,0.832361095,-0.297424316,0.088461224,0.979966486,1375753.351,1537499662,37.81554037,-122.2640045
19443,0.123168945,0.015170589,0.459075928,0.210750708,0.194259644,0.037736809,0.51347649,1375753.411,1537499662,37.81554037,-122.2640045
19444,0.024414063,0.000596046,0.067703247,0.00458373,0.079498291,0.006319978,0.107236908,1375753.471,1537499662,37.81554037,-122.2640045
19445,0.356338501,0.126977127,1.303466797,1.699025691,-0.383590698,0.147141824,1.40468667,1375753.53,1537499662,37.81554037,-122.2640045
